"","Country","Infant_vaccination_rate","Pecentage_of_malnourished_population","Net_migration_rate","Proportion_of_urban_population","Public_social_welfare_expenditures","National_competitiveness","Average_annual_temperature","Annual_precipitation","Pharmaceutical_sales","Exports_to_GDP_ratio","Imports_to_GDP_ratio","GDP","Number_of_foreign_visitors","Number_of_international_travelers","Aging_index","Total_fertility_rate","Population","Population_density","Median_age","Aged_65_older","Aged_70_older","Gdp_per_capita","Extreme_poverty","Cardiovasc_death_rate","Diabetes_prevalence","Female_smokers","Male_smokers","Handwashing_facilities","Hospital_beds_per_thousand","Life_expectancy","Human_development_index"
"35","Ecuador",7.49328317480568,1.27233289249033,0.363987305563198,3.17781961854173,NA,NA,1.02334982560439,1.53696635641759,NA,0.819249840086562,0.367109251747435,0.343022817731571,NA,NA,0.525932884150346,2.05942673818072,0.0321464374761762,0.0427447490321991,3.08369514178715,1.1473443152236,1.06096490623803,0.536193555454991,0.176514311129897,1.18439102350401,1.21456397893494,0.191418141745338,0.900408012892216,2.52346934465358,0.613259360270528,10.2664812919868,4.84890305767966
"36","Egypt",8.3748459012534,0.679541431216424,-0.0661795101023997,2.11854641236116,NA,NA,0.0383489872190401,0.0372291491835601,NA,0.323118765007371,0.419553430568497,1.66937771296031,2.91522850328928,0.108038666572259,0.298091923507597,2.81061108120566,0.186457818978189,0.0625785067062023,2.77642302801476,0.833213587026822,0.688032647809362,0.534585775790231,0.0637412790191296,4.43094201598996,3.78812657213761,0.0191418141745338,3.66751556470732,2.8111326449085,0.654143317621897,9.59724695766948,4.48781453210777
"37","El_Salvador",7.14065808422659,1.28679122081408,-1.04232728411279,3.63320809970348,NA,NA,2.3691152104207,2.70087518912338,NA,1.09363274310187,2.2813217787162,1.69224590080909,NA,NA,0.617069268407446,1.73025607101249,0.0118181457697481,0.196556625350696,3.02882512147065,1.33614576574392,1.28919849643145,0.369513573227639,0.107869856801604,1.41079044398712,1.94111396273025,0.239272677181672,1.37623338555883,2.83688839948964,0.531491445567791,9.77455406217983,4.3459583256331
"38","Estonia",8.11037708331909,0.361458208093842,0.496346325767998,3.42531335830355,4.05259473488078,1.54068430273831,0.579495806865495,0.992930517936844,0.0240611950650813,2.67803561646381,2.88442983515842,2.03526871854066,NA,NA,2.34486321994829,1.34200348922432,0.00241701286643073,0.019816516480919,4.68589973502887,3.14163029557002,3.21073969270014,1.49383414614722,0.0245158765458191,2.15520071119486,0.87973823339071,2.34487223638039,2.87691340704586,NA,1.91745759977919,10.4971138414626,5.61621617451992
"39","Eswatini",7.93406453802954,NA,-1.22432093689439,1.1978697004472,NA,NA,NA,NA,NA,NA,NA,2.44689609981854,NA,NA,0.203158189906451,2.55740287569163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Finland",8.02222081067431,0.361458208093842,0.413621938139998,4.23214294992707,6.32116678755861,0.715317711985645,0.556770481106064,0.988334326679614,0.187706122313593,1.17063540504933,1.12754984465284,1.82945502790171,0.0767165395602441,2.80900533087873,2.69991538361658,1.29136184812152,0.0100954338283792,0.0115809732509891,4.69687373909217,3.42846637437592,3.15671568334257,2.05650478737485,NA,1.29451692330991,1.26052045381356,1.75147599696984,1.65440821881009,NA,1.34099380112489,10.9197179928144,5.93216863439533
"41","France",8.46300217389818,0.361458208093842,0.0992692651535995,4.00939858414144,NA,NA,NA,NA,NA,0.988850639818938,0.812884771726463,1.85232321575049,3.06866158240976,1.62057999858388,2.23284141429894,1.56145060066981,0.118931232584282,0.0782737394772688,4.60908170658577,3.18459110467045,3.11268730567231,1.95617437057034,NA,0.725739714931896,1.04386850081435,2.88084303326733,2.60605896414332,NA,2.44486064961184,11.0197032021247,5.80965645607629
"42","Gabon",6.17093908513409,2.40008250174311,0.264718040409599,4.45983719050795,NA,NA,2.39397103547008,2.92915268823245,NA,NA,NA,0.914727513950857,NA,NA,0.180374093842176,3.37610940685364,0.0040553750874834,0.00501846431294242,2.53499493862218,0.718705265026043,0.708261902414619,0.839228201095145,0.16670796051157,2.19228882723333,1.57565056726694,NA,NA,NA,2.57568931313622,8.8613558171453,4.52650258841904
"43","Gambia",8.19853335596386,NA,-0.231628285358399,3.09862162181795,NA,NA,2.5807448065554,1.76309896627329,NA,NA,NA,0.182945502790171,NA,NA,0.110123130977329,4.4311435964954,0.00440326894410187,0.132543906804963,1.92045071107741,0.377764407841779,0.337233573831154,0.0791357460980934,0.495220706225545,2.79493276458143,0.41798508103887,0.0669963496108682,2.28396178879977,0.246479128895537,0.449723530865054,8.2721096502763,2.96608431719766
"44","Germany",8.19853335596386,0.361458208093842,1.09196191668959,3.83615296630817,5.52826781769063,0.935415469519689,0.536175654636579,0.894878437782611,3.16728098068378,1.86073521085693,1.57332536463186,2.401159724121,1.84119694944586,2.70096666430647,2.9505404403236,1.34200348922432,0.152658062119037,0.151349578520977,5.11388589349755,3.46480540463005,3.79762606748322,2.29179515800274,NA,1.31671244886999,1.81856336305393,2.69899579860926,2.42304920542539,NA,3.27071658810949,10.8423960976144,6.03533678455872
"45","Ghana",8.55115844654295,0.93979134104399,-0.0496346325767998,2.83627825767043,NA,NA,2.28957657026269,1.48686787171379,NA,NA,NA,3.13294173528169,NA,NA,0.161387347121947,3.28326639816517,0.0566162833229135,0.0809180276462336,2.31551485735619,0.546700521823181,0.463606917306343,0.214216752099822,0.588381037099658,2.51508530420478,1.08763657212732,0.0287127212618007,0.563670056851225,1.28456434786378,0.367955616162317,8.54140314735218,3.81722155604569
"46","Greece",8.72747099183249,0.361458208093842,-0.248173162883999,3.94505021180337,5.17586827552709,2.69619752979205,0.477942007378037,0.569621303145994,NA,0.700334336825931,0.943995218779118,1.37209127092629,1.53433079120488,0.108038666572259,3.09863706474139,1.09723555722743,0.0189912701093055,0.0533065762030945,4.97122384067466,3.29409271583622,3.45658463396167,1.24519986302026,0.0735476296374572,1.48162722768951,0.995723622370082,3.37853020180521,3.80660298133294,NA,1.72121460449262,10.9637114849109,5.60976816513471
"47","Guatemala",7.58143944745045,2.32779086012434,-0.0827243876279996,2.56403514393243,NA,NA,1.7058197648173,1.69185800178623,NA,0.741759819519184,0.970217308189649,3.29301905022309,NA,NA,0.286699875475459,2.44767931996889,0.032642957311019,0.100786906269112,2.51304693049558,0.758112924501628,0.717781551640622,0.376169162857837,0.426576251897252,1.31468010781377,2.22779482983021,NA,NA,2.39922834138856,0.245303744108211,9.90520140234536,4.191206100388
"48","Guinea",3.96703226901477,NA,-0.0496346325767998,1.82650379944221,NA,NA,6.11311262928699,4.84438558512004,NA,NA,NA,0.365891005580343,NA,NA,0.131008552369581,4.00068964712156,0.0239285292299424,0.0330488128917591,2.0850607720269,0.506323821540819,0.412438802716577,0.101286875958371,1.73082088413483,2.83951777356174,0.529593662886945,NA,NA,0.546097105031376,0.122651872054106,8.21211852469009,2.95963630781245
"49","Haiti",5.64200144926545,NA,-0.529436080819197,2.82637850807995,NA,NA,NA,NA,NA,NA,NA,3.5217009287108,NA,NA,0.301889272851643,2.49832096107169,0.0207759206257042,0.254434033409248,2.66668298738177,0.77523264542135,0.703026095340317,0.0837673473598965,1.1522461976535,3.63078994636879,1.45528837115627,0.27755630553074,1.69101017055367,0.715496739961739,0.28618770145958,8.53207119448321,3.21110867383573
"50","Honduras",7.93406453802954,1.99524930867801,-0.115814142679199,2.89072688041803,NA,NA,1.28611140469781,1.3302909562175,NA,0.878220233096957,2.30754386812673,1.46356402232137,NA,NA,0.309483971539734,2.10162810576639,0.01804663486935,0.0528761849386941,2.73252701176157,0.751329638854192,0.686128717964162,0.23013569626557,0.78450804946621,2.02566215947433,1.57783897083259,0.191418141745338,NA,2.63406574403357,0.28618770145958,10.0345156063867,3.978421790676
"51","Hungary",8.72747099183249,0.361458208093842,0.0992692651535995,3.55895997777493,4.272844448733,2.58614865102502,0.489304670257753,0.873889164374596,0.140253663974209,3.98269464199131,3.06798446103213,0.846122950404543,0.920598474722929,1.08038666572259,2.65624586616005,1.25760075405298,0.0176015859648485,0.0689922305335587,4.76271776347197,3.00031184458175,2.85018297826528,1.35683637086852,0.0245158765458191,2.34685637586204,1.65224469206464,2.56500309938753,2.54749584135359,NA,2.87005380606607,10.249150522373,5.40343186480792
"52","Iceland",8.02222081067431,0.361458208093842,0.181993652781599,4.64793243272693,3.52399542163546,1.15551322705373,0.607902464064784,1.22274008079833,0.0161973228293951,1.04830839144925,1.38977073875815,1.64650952511154,NA,NA,1.52653443630642,1.49392841253274,0.000621772628373147,0.00217366745403435,4.0933035156107,2.33070464709906,2.19118526059523,2.35532160826573,0.00980635061832763,0.995020688406278,1.16204229335937,1.36863971347916,1.11269933300501,NA,1.18972315892483,11.0636966942213,6.02888877517351
"53","India",7.84590826538477,2.02416596532552,-0.0661795101023997,1.72750630353748,NA,2.36605089349098,1.80524306501481,1.21936954054302,NA,0.562899206008316,0.23599880469478,1.78371865220417,0.767165395602441,1.2964639988671,0.47656734267775,1.89062126783804,2.51442916814042,0.287620775845681,3.09466914585045,0.967264231964264,0.812502061439351,0.325643736818116,1.03947316554273,2.38045325041803,2.27375130470883,0.181847234658071,1.50800041183574,1.86361504897527,0.216684973962253,9.28662624074532,4.12672600653588
"54","Indonesia",6.96434553893704,1.30124954913783,-0.0661795101023997,2.80162913410377,NA,2.20097757534045,3.275997741508,2.95305288277004,NA,0.75443114363712,0.183554625873717,0.274418254185257,0.460299237361465,2.48488933116195,0.457580595957521,1.95814345597511,0.498372163373804,0.0930545504521611,3.21538319054674,0.859054675207533,0.726587227174674,0.566940910097708,0.279480992622337,2.8913551199211,1.38307105348987,0.267985398443473,5.57081705537379,2.00926180695899,0.425193156454233,9.56125228231775,4.47491851333734
"55","Iran",8.72747099183249,0.679541431216424,-0.115814142679199,3.75695496958439,NA,NA,0.247848084063796,0.322959039008003,NA,NA,NA,0.0228681878487714,NA,NA,0.503148788086071,1.81465880618383,0.153038883960827,0.0318202182438267,3.55557731650903,0.878596998144197,0.757288095928534,0.966928723174711,0.00980635061832763,2.27949396774124,2.09867901945694,0.0765672566981351,1.54460236357933,NA,0.613259360270528,10.2224877998902,5.14551148939942
"56","Iraq",7.4051269021609,3.42662381272963,0.0330897550511998,3.50946122982257,NA,NA,0.214470261854632,0.237010262497809,NA,NA,NA,1.41782764662383,NA,NA,0.172779395154085,3.10602065430535,0.0732871836192141,0.0562733385390063,2.19480081265989,0.514560668398421,0.465748838382194,0.793704322719132,0.122579382729095,1.84354416175565,1.93236034846765,NA,NA,2.95975242438094,0.57237540291916,9.41194103641429,4.41688642887043
"57","Ireland",8.28668962860863,0.361458208093842,0.810698998754396,3.15307024456555,3.17159587947192,0.660293272602134,0.54256715250642,1.13311435128235,0.167457903515656,2.11026282425628,1.23243820229496,2.30968697272591,0.153433079120488,0.108038666572259,1.32907227041604,1.55301032715267,0.00899688321550304,0.0446189305767322,4.24693957249689,2.24946672613095,2.06528789958134,3.41192293747321,0.00980635061832763,1.0664224797882,0.717796369532719,2.20130863007138,1.88134031962032,NA,1.21016513760051,10.9717103016558,6.04823280332915
